Produtos,Embalagem,MIN,M.C.,MAX,Situação,Data
AGRIAO,KG,4.55,4.55,4.55,ME,07/11/2025
ALECRIM,KG,14.29,14.29,14.29,ME,07/11/2025
ALFACE AMERICANA,KG,2.5,2.5,2.5,MFR,07/11/2025
ALFACE CRESPA,KG,2.5,2.5,2.5,MFR,07/11/2025
ALFACE LISA,KG,2.5,2.5,2.5,MFR,07/11/2025
ALHO PORRO,KG,9.18,10.14,10.63,MFR,07/11/2025
ALMEIRAO,KG,1.34,1.48,1.61,MFR,07/11/2025
BROCOLO COMUM,KG,5.26,5.26,5.26,ME,07/11/2025
BROCOLO NINJA,KG,3.33,3.57,3.8,MFI,07/11/2025
CEBOLINHA,KG,5.26,5.26,5.26,ME,07/11/2025
CHICORIA,KG,2.41,2.41,2.41,MFR,07/11/2025
COENTRO,KG,3.68,3.68,3.68,MFR,07/11/2025
COUVE,KG,4.55,4.55,4.55,ME,07/11/2025
COUVE CHINESA,KG,0.88,0.91,0.93,MFR,07/11/2025
COUVE-FLOR BRANCA GRAUDA,ENG 08 UNID,22.0,23.0,25.0,ME,07/11/2025
ESPINAFRE PRIMEIRA,KG,2.8,2.8,2.8,MFR,07/11/2025
HORTELA,KG,9.09,9.09,9.09,ME,07/11/2025
MANJERICAO,KG,8.33,8.33,8.33,ME,07/11/2025
MOSTARDA,KG,2.9,3.17,3.44,MFR,07/11/2025
REPOLHO HIBRIDO EXTRA,KG,1.25,1.25,1.25,MFR,07/11/2025
REPOLHO ROXO EXTRA,KG,1.25,1.25,1.25,MFI,07/11/2025
RUCULA,KG,3.89,3.89,3.89,MFR,07/11/2025
SALSA,KG,4.12,4.12,4.12,MFR,07/11/2025
SALSAO,KG,6.18,6.88,7.57,MFI,07/11/2025
SERRALHA,KG,2.78,2.88,3.08,MFR,07/11/2025
TAIOBA,KG,7.14,7.14,7.14,ME,07/11/2025
ABOBORA JACARE MADURA,KG,1.84,1.84,1.84,MFI,07/11/2025
ABOBORA MARANHAO,KG,1.94,1.94,1.94,ME,07/11/2025
